Wavelength (nm);Frequency (PHz);Spectrum (arb. u.)
1036.3197;0.28929;18.0664
1037.12845;0.28906;11.7706
1037.93712;0.28883;9.03738
1038.7457;0.28861;11.2948
1039.55419;0.28839;18.2919
1040.36259;0.28816;28.8639
1041.17091;0.28794;38.5402
1041.97914;0.28771;39.252
1042.78727;0.28749;32.2649
1043.59532;0.28727;24.5967
1044.40329;0.28705;18.2892
1045.21116;0.28682;12.8829
1046.01895;0.2866;11.5588
1046.82665;0.28638;16.3104
1047.63425;0.28616;24.8701
1048.44178;0.28594;34.083
1049.24921;0.28572;41.9632
1050.05655;0.2855;46.7851
1050.86381;0.28528;47.3362
1051.67098;0.28506;42.8539
1052.47806;0.28484;34.4737
1053.28505;0.28463;24.4949
1054.09196;0.28441;16.136
1054.89877;0.28419;11.1154
1055.7055;0.28397;10.5479
1056.51214;0.28376;14.8757
1057.31869;0.28354;23.2571
1058.12516;0.28332;34.1398
1058.93153;0.28311;45.4198
1059.73782;0.28289;55.2685
1060.54402;0.28268;61.8725
1061.35013;0.28246;64.7618
1062.15615;0.28225;63.0465
1062.96208;0.28203;57.5717
1063.76793;0.28182;48.9027
1064.57369;0.28161;38.6044
1065.37936;0.2814;28.1342
1066.18494;0.28118;18.7955
1066.99043;0.28097;12.1051
1067.79584;0.28076;8.87267
1068.60115;0.28055;9.37123
1069.40638;0.28034;13.8024
1070.21152;0.28012;21.8715
1071.01658;0.27991;32.4525
1071.82154;0.2797;44.9853
1072.62642;0.27949;58.4609
1073.4312;0.27928;71.9266
1074.2359;0.27908;84.2833
1075.04052;0.27887;95.6213
1075.84504;0.27866;104.756
1076.64947;0.27845;111.391
1077.45382;0.27824;115.642
1078.25808;0.27803;117.385
1079.06225;0.27783;116.777
1079.86633;0.27762;113.977
1080.67033;0.27741;109.489
1081.47423;0.27721;103.588
1082.27805;0.277;96.468
1083.08178;0.2768;88.8423
1083.88542;0.27659;80.5911
1084.68898;0.27639;72.4204
1085.49244;0.27618;64.5443
1086.29582;0.27598;56.8235
1087.09911;0.27577;49.4801
1087.90231;0.27557;42.725
1088.70542;0.27537;36.8197
1089.50844;0.27516;31.1632
1090.31138;0.27496;26.2696
1091.11423;0.27476;21.9166
1091.91699;0.27456;18.3071
1092.71966;0.27435;15.0537
1093.52224;0.27415;12.3762
1094.32474;0.27395;10.0499
1095.12715;0.27375;8.08752
1095.92947;0.27355;6.53629
1096.7317;0.27335;5.36125
1097.53384;0.27315;4.24541
1098.33589;0.27295;3.41993
1099.13786;0.27275;2.65989
1099.93974;0.27255;2.21148
1100.74153;0.27235;1.74809
1101.54323;0.27216;1.40294
1102.34484;0.27196;1.14429
1103.14637;0.27176;0.97501
1103.9478;0.27156;0.77336
1104.74915;0.27137;0.69716
1105.55041;0.27117;0.59833
1106.35159;0.27097;0.56035
1107.15267;0.27078;0.53136
1107.95367;0.27058;0.65916
1108.75458;0.27039;0.59792
1109.5554;0.27019;0.54695
1110.35613;0.27;0.50417
1111.15677;0.2698;0.47815
1111.95733;0.26961;0.42068
1112.75779;0.26941;0.42057
1113.55817;0.26922;0.41911
1114.35846;0.26903;0.44359
1115.15867;0.26883;0.46906
1115.95878;0.26864;0.51155
1116.75881;0.26845;0.43065
1117.55874;0.26826;0.36396
1118.35859;0.26806;0.28608
1119.15836;0.26787;0.43176
1119.95803;0.26768;0.31937
1120.75762;0.26749;0.31121
1121.55711;0.2673;0.40998
1122.35652;0.26711;0.44962
1123.15584;0.26692;0.41558
1123.95507;0.26673;0.46598
1124.75422;0.26654;0.39952
1125.55328;0.26635;0.37291
1126.35224;0.26616;0.42603
1127.15112;0.26597;0.36075
1127.94992;0.26579;0.48137
1128.74862;0.2656;0.334
1129.54723;0.26541;0.3454
1130.34576;0.26522;0.31985
1131.1442;0.26503;0.35714
1131.94255;0.26485;0.35817
1132.74081;0.26466;0.43116
1133.53899;0.26447;0.42592
1134.33708;0.26429;0.44902
1135.13507;0.2641;0.3569
1135.93298;0.26392;0.34939
1136.73081;0.26373;0.44555
1137.52854;0.26355;0.44904
1138.32618;0.26336;0.4801
1139.12374;0.26318;0.41169
1139.92121;0.26299;0.43488
1140.71859;0.26281;0.36254
1141.51588;0.26263;0.33377
1142.31309;0.26244;0.38444
1143.11021;0.26226;0.35983
1143.90723;0.26208;0.39109
1144.70417;0.2619;0.37545
1145.50103;0.26171;0.39074
1146.29779;0.26153;0.35073
1147.09447;0.26135;0.3254
1147.89105;0.26117;0.40421
1148.68755;0.26099;0.41064
1149.48396;0.26081;0.39731
1150.28029;0.26063;0.46227
1151.07652;0.26045;0.41142
1151.87267;0.26027;0.39996
1152.66872;0.26009;0.35284
1153.46469;0.25991;0.44345
1154.26058;0.25973;0.42474
1155.05637;0.25955;0.3412
1155.85208;0.25937;0.39106
1156.64769;0.25919;0.35718
1157.44322;0.25901;0.37618
1158.23866;0.25883;0.34395
1159.03402;0.25866;0.40041
1159.82928;0.25848;0.41006
1160.62446;0.2583;0.37485
1161.41955;0.25813;0.43889
1162.21455;0.25795;0.39482
1163.00946;0.25777;0.40009
1163.80428;0.2576;0.43764
1164.59902;0.25742;0.38348
1165.39366;0.25725;0.4047
1166.18822;0.25707;0.4325
1166.98269;0.2569;0.4215
1167.77708;0.25672;0.44864
1168.57137;0.25655;0.39789
1169.36558;0.25637;0.40152
1170.1597;0.2562;0.51424
1170.95373;0.25602;0.42112
1171.74767;0.25585;0.35615
1172.54152;0.25568;0.37844
1173.33529;0.2555;0.42592
1174.12897;0.25533;0.47237
1174.92256;0.25516;0.43407
1175.71606;0.25499;0.43672
1176.50947;0.25482;0.39058
1177.30279;0.25464;0.35495
1178.09603;0.25447;0.37742
1178.88918;0.2543;0.40184
1179.68224;0.25413;0.41464
1180.47521;0.25396;0.40899
1181.2681;0.25379;0.47658
1182.06089;0.25362;0.42413
1182.8536;0.25345;0.52992
1183.64622;0.25328;0.45665
1184.43875;0.25311;0.48484
1185.23119;0.25294;0.39321
1186.02355;0.25277;0.43541
1186.81581;0.2526;0.42584
1187.60799;0.25243;0.46745
1188.40008;0.25227;0.46779
1189.19208;0.2521;0.47874
1189.984;0.25193;0.43601
1190.77582;0.25176;0.41825
1191.56756;0.2516;0.47692
1192.35921;0.25143;0.41561
1193.15077;0.25126;0.48403
1193.94224;0.25109;0.52475
1194.73363;0.25093;0.43237
1195.52493;0.25076;0.45622
1196.31613;0.2506;0.44376
1197.10725;0.25043;0.48205
1197.89829;0.25027;0.39934
1198.68923;0.2501;0.39478
1199.48009;0.24994;0.47709
1200.27085;0.24977;0.49323
1201.06153;0.24961;0.49015
1201.85212;0.24944;0.41911
1202.64263;0.24928;0.43073
1203.43304;0.24911;0.42589
1204.22337;0.24895;0.44442
1205.01361;0.24879;0.49254
1205.80376;0.24862;0.41842
1206.59382;0.24846;0.46135
1207.38379;0.2483;0.46863
1208.17368;0.24814;0.41104
1208.96348;0.24797;0.40494
1209.75319;0.24781;0.56477
1210.54281;0.24765;0.49922
1211.33234;0.24749;0.43046
1212.12179;0.24733;0.42286
1212.91114;0.24717;0.3841
1213.70041;0.24701;0.39665
1214.48959;0.24685;0.44071
1215.27868;0.24669;0.37255
1216.06769;0.24653;0.39644
1216.8566;0.24637;0.36875
1217.64543;0.24621;0.39254
1218.43417;0.24605;0.42487
1219.22282;0.24589;0.46693
1220.01139;0.24573;0.45348
1220.79986;0.24557;0.51202
1221.58825;0.24541;0.59011
1222.37655;0.24525;0.52574
1223.16476;0.2451;0.49065
1223.95288;0.24494;0.51497
1224.74091;0.24478;0.50525
1225.52886;0.24462;0.39184
1226.31672;0.24447;0.46821
1227.10449;0.24431;0.5224
1227.89217;0.24415;0.55797
1228.67976;0.244;0.45941
1229.46727;0.24384;0.44525
1230.25468;0.24368;0.42405
1231.04201;0.24353;0.44162
1231.82925;0.24337;0.38642
1232.6164;0.24322;0.47153
1233.40347;0.24306;0.49315
1234.19044;0.24291;0.477
1234.97733;0.24275;0.43751
1235.76413;0.2426;0.51049
1236.55084;0.24244;0.48281
1237.33746;0.24229;0.4548
1238.124;0.24213;0.46661
1238.91045;0.24198;0.4894
1239.69681;0.24183;0.55775
1240.48308;0.24167;0.51229
1241.26926;0.24152;0.53891
1242.05535;0.24137;0.48668
1242.84136;0.24122;0.54573
1243.62728;0.24106;0.50157
1244.41311;0.24091;0.54817
1245.19885;0.24076;0.48834
1245.9845;0.24061;0.49652
1246.77007;0.24046;0.49651
1247.55554;0.2403;0.4833
1248.34093;0.24015;0.503
1249.12623;0.24;0.43915
1249.91144;0.23985;0.53223
1250.69657;0.2397;0.44748
1251.4816;0.23955;0.40698
1252.26655;0.2394;0.44236
1253.05141;0.23925;0.48645
1253.83618;0.2391;0.48945
1254.62087;0.23895;0.51331
1255.40546;0.2388;0.43768
1256.18997;0.23865;0.43893
1256.97439;0.2385;0.5036
1257.75872;0.23835;0.51611
1258.54296;0.23821;0.47987
1259.32711;0.23806;0.44819
1260.11118;0.23791;0.47995
1260.89516;0.23776;0.48614
1261.67905;0.23761;0.55188
1262.46285;0.23747;0.46138
1263.24656;0.23732;0.47378
1264.03019;0.23717;0.55583
1264.81372;0.23702;0.51447
1265.59717;0.23688;0.46533
1266.38053;0.23673;0.43938
1267.16381;0.23659;0.45222
1267.94699;0.23644;0.41153
1268.73009;0.23629;0.5431
1269.51309;0.23615;0.50523
1270.29601;0.236;0.46127
1271.07885;0.23586;0.42164
1271.86159;0.23571;0.44977
1272.64424;0.23557;0.45678
1273.42681;0.23542;0.50447
1274.20929;0.23528;0.52296
1274.99168;0.23513;0.4734
1275.77398;0.23499;0.47593
1276.5562;0.23484;0.469
1277.33832;0.2347;0.54163
1278.12036;0.23456;0.62497
1278.90231;0.23441;0.47276
1279.68417;0.23427;0.49411
1280.46595;0.23413;0.50757
1281.24763;0.23398;0.50033
1282.02923;0.23384;0.51862
1282.81074;0.2337;0.44031
1283.59216;0.23356;0.50082
1284.37349;0.23342;0.56911
1285.15473;0.23327;0.45801
1285.93589;0.23313;0.48667
1286.71696;0.23299;0.63264
1287.49794;0.23285;0.50579
1288.27883;0.23271;0.51506
1289.05963;0.23257;0.49072
1289.84035;0.23243;0.50492
1290.62098;0.23229;0.568
1291.40151;0.23215;0.52563
1292.18197;0.232;0.49033
1292.96233;0.23186;0.48396
1293.7426;0.23172;0.60808
1294.52279;0.23159;0.48472
1295.30289;0.23145;0.42812
1296.0829;0.23131;0.54664
1296.86282;0.23117;0.53247
1297.64265;0.23103;0.59023
1298.4224;0.23089;0.52885
1299.20205;0.23075;0.56148
1299.98162;0.23061;0.50377
1300.7611;0.23047;0.49738
1301.5405;0.23034;0.48139
1302.3198;0.2302;0.41613
1303.09902;0.23006;0.5489
1303.87815;0.22992;0.48027
1304.65718;0.22979;0.45901
1305.43614;0.22965;0.51638
1306.215;0.22951;0.56091
1306.99378;0.22938;0.58933
1307.77246;0.22924;0.53761
1308.55106;0.2291;0.47066
1309.32957;0.22897;0.44785
1310.108;0.22883;0.54071
1310.88633;0.22869;0.54858
1311.66458;0.22856;0.47985
1312.44273;0.22842;0.43651
1313.2208;0.22829;0.49396
1313.99879;0.22815;0.54992
1314.77668;0.22802;0.53151
1315.55448;0.22788;0.44902
1316.3322;0.22775;0.4551
1317.10983;0.22761;0.43789
1317.88737;0.22748;0.50688
1318.66482;0.22735;0.47275
1319.44219;0.22721;0.58937
1320.21946;0.22708;0.57652
1320.99665;0.22694;0.41337
1321.77375;0.22681;0.51729
1322.55076;0.22668;0.53748
1323.32769;0.22654;0.55641
1324.10452;0.22641;0.56797
1324.88127;0.22628;0.52655
1325.65793;0.22615;0.45338
1326.4345;0.22601;0.51369
1327.21098;0.22588;0.46587
1327.98738;0.22575;0.56048
1328.76368;0.22562;0.4756
1329.5399;0.22549;0.54261
1330.31603;0.22535;0.52846
1331.09207;0.22522;0.54714
1331.86803;0.22509;0.52072
1332.64389;0.22496;0.57907
1333.41967;0.22483;0.58981
1334.19536;0.2247;0.56849
1334.97096;0.22457;0.57492
1335.74647;0.22444;0.68478
1336.5219;0.22431;0.65862
1337.29723;0.22418;0.64956
1338.07248;0.22405;0.51929
1338.84764;0.22392;0.63194
1339.62271;0.22379;0.54822
1340.3977;0.22366;0.48929
1341.17259;0.22353;0.49417
1341.9474;0.2234;0.5608
1342.72212;0.22327;0.48929
1343.49675;0.22314;0.57382
1344.27129;0.22301;0.58585
1345.04575;0.22289;0.43569
1345.82011;0.22276;0.46918
1346.59439;0.22263;0.46373
1347.36858;0.2225;0.52643
1348.14269;0.22237;0.42994
1348.9167;0.22225;0.4545
1349.69062;0.22212;0.43149
1350.46446;0.22199;0.58266
1351.23821;0.22186;0.60213
1352.01187;0.22174;0.626
1352.78544;0.22161;0.54318
1353.55893;0.22148;0.48549
1354.33233;0.22136;0.5705
1355.10563;0.22123;0.48164
1355.87885;0.22111;0.48785
1356.65199;0.22098;0.59699
1357.42503;0.22085;0.64087
1358.19799;0.22073;0.55521
1358.97085;0.2206;0.62216
1359.74363;0.22048;0.59155
1360.51632;0.22035;0.60633
1361.28893;0.22023;0.58978
1362.06144;0.2201;0.55002
1362.83387;0.21998;0.61638
1363.60621;0.21985;0.66388
1364.37846;0.21973;0.58329
1365.15062;0.2196;0.60984
1365.92269;0.21948;0.60655
1366.69468;0.21936;0.67491
1367.46657;0.21923;0.61939
1368.23838;0.21911;0.46294
1369.0101;0.21898;0.5038
1369.78174;0.21886;0.50027
1370.55328;0.21874;0.52935
1371.32474;0.21862;0.55983
1372.09611;0.21849;0.52859
1372.86739;0.21837;0.61622
1373.63858;0.21825;0.51289
1374.40968;0.21812;0.64355
1375.1807;0.218;0.59621
1375.95163;0.21788;0.5256
1376.72247;0.21776;0.47442
1377.49322;0.21764;0.6939
1378.26388;0.21751;0.59832
1379.03445;0.21739;0.71413
1379.80494;0.21727;0.68242
1380.57534;0.21715;0.54873
1381.34565;0.21703;0.58586
1382.11587;0.21691;0.6258
1382.88601;0.21679;0.56946
1383.65605;0.21667;0.46539
1384.42601;0.21655;0.55078
1385.19588;0.21643;0.68816
1385.96566;0.21631;0.6789
1386.73535;0.21619;0.65152
1387.50496;0.21607;0.61886
1388.27447;0.21595;0.70158
1389.0439;0.21583;0.61305
1389.81324;0.21571;0.6096
1390.58249;0.21559;0.53405
1391.35166;0.21547;0.58608
1392.12073;0.21535;0.64658
1392.88972;0.21523;0.54567
1393.65862;0.21511;0.68337
1394.42743;0.21499;0.52298
1395.19616;0.21487;0.57514
1395.96479;0.21476;0.62616
1396.73334;0.21464;0.55173
1397.5018;0.21452;0.61504
1398.27017;0.2144;0.58193
1399.03845;0.21428;0.58614
1399.80664;0.21417;0.49839
1400.57475;0.21405;0.54001
1401.34276;0.21393;0.55699
1402.11069;0.21382;0.56436
1402.87854;0.2137;0.69288
1403.64629;0.21358;0.65082
1404.41395;0.21346;0.61494
1405.18153;0.21335;0.5812
1405.94902;0.21323;0.6059
1406.71642;0.21312;0.64691
1407.48373;0.213;0.53846
1408.25096;0.21288;0.63028
1409.01809;0.21277;0.64594
1409.78514;0.21265;0.59001
1410.5521;0.21254;0.50517
1411.31897;0.21242;0.61865
1412.08575;0.2123;0.64709
1412.85245;0.21219;0.58585
1413.61905;0.21207;0.60214
1414.38557;0.21196;0.62603
1415.152;0.21184;0.55075
1415.91835;0.21173;0.60497
1416.6846;0.21162;0.66909
1417.45077;0.2115;0.56225
1418.21684;0.21139;0.52533
1418.98283;0.21127;0.61378
1419.74873;0.21116;0.62094
1420.51455;0.21104;0.59895
1421.28027;0.21093;0.61531
1422.04591;0.21082;0.5092
1422.81146;0.2107;0.56066
1423.57692;0.21059;0.67365
1424.34229;0.21048;0.71017
1425.10757;0.21036;0.60283
1425.87277;0.21025;0.75395
1426.63788;0.21014;0.60186
1427.4029;0.21003;0.59643
1428.16783;0.20991;0.61138
1428.93267;0.2098;0.65694
1429.69743;0.20969;0.66735
1430.46209;0.20958;0.57858
1431.22667;0.20947;0.65323
1431.99116;0.20935;0.63266
1432.75556;0.20924;0.52768
1433.51988;0.20913;0.58071
1434.2841;0.20902;0.51018
1435.04824;0.20891;0.53756
1435.81229;0.2088;0.55331
1436.57625;0.20869;0.50187
1437.34013;0.20857;0.62955
1438.10391;0.20846;0.50598
1438.86761;0.20835;0.58205
1439.63122;0.20824;0.61837
1440.39474;0.20813;0.61126
1441.15817;0.20802;0.79133
1441.92151;0.20791;0.58712
1442.68477;0.2078;0.7098
1443.44794;0.20769;0.78427
1444.21102;0.20758;0.62748
1444.97401;0.20747;0.73887
1445.73691;0.20736;0.69653
1446.49973;0.20725;0.73676
1447.26245;0.20714;0.79277
1448.02509;0.20704;0.5203
1448.78764;0.20693;0.53199
1449.55011;0.20682;0.60549
1450.31248;0.20671;0.65404
1451.07477;0.2066;0.71488
1451.83696;0.20649;0.66791
1452.59907;0.20638;0.60585
1453.3611;0.20628;0.65029
1454.12303;0.20617;0.60112
1454.88487;0.20606;0.67476
1455.64663;0.20595;0.74457
1456.4083;0.20584;0.70526
1457.16988;0.20574;0.73141
1457.93137;0.20563;0.74039
1458.69278;0.20552;0.59297
1459.45409;0.20541;0.75079
1460.21532;0.20531;0.65489
1460.97646;0.2052;0.67113
1461.73751;0.20509;0.57565
1462.49847;0.20499;0.6826
1463.25935;0.20488;0.69172
1464.02014;0.20477;0.72893
1464.78084;0.20467;0.58687
1465.54145;0.20456;0.53617
1466.30197;0.20445;0.5584
1467.0624;0.20435;0.65419
1467.82275;0.20424;0.68126
1468.58301;0.20414;0.74927
1469.34318;0.20403;0.61592
1470.10326;0.20393;0.66542
1470.86325;0.20382;0.7817
1471.62316;0.20372;0.70729
1472.38297;0.20361;0.84735
1473.1427;0.20351;0.65156
1473.90234;0.2034;0.63533
1474.6619;0.2033;0.70707
1475.42136;0.20319;0.71831
1476.18074;0.20309;0.77184
1476.94002;0.20298;0.6129
1477.69922;0.20288;0.74913
1478.45834;0.20277;0.67141
1479.21736;0.20267;0.82675
1479.97629;0.20257;0.64993
1480.73514;0.20246;0.74504
1481.4939;0.20236;0.81532
1482.25257;0.20225;0.71635
1483.01115;0.20215;0.79853
1483.76965;0.20205;0.72408
1484.52805;0.20194;0.67487
1485.28637;0.20184;0.7989
1486.0446;0.20174;0.83169
1486.80274;0.20164;0.81176
1487.5608;0.20153;0.76268
1488.31876;0.20143;0.8201
1489.07664;0.20133;0.76985
1489.83443;0.20123;0.68546
1490.59213;0.20112;0.73168
1491.34974;0.20102;0.9265
1492.10727;0.20092;0.82296
1492.8647;0.20082;0.73138
1493.62205;0.20072;0.72793
1494.37931;0.20061;0.74164
1495.13648;0.20051;0.75408
1495.89357;0.20041;0.75787
1496.65056;0.20031;0.70953
1497.40747;0.20021;0.76198
1498.16429;0.20011;0.80444
1498.92102;0.20001;0.91144
1499.67766;0.1999;0.88245
1500.43421;0.1998;0.84778
1501.19068;0.1997;0.85606
1501.94706;0.1996;0.81316
1502.70335;0.1995;0.80748
1503.45955;0.1994;0.85643
1504.21566;0.1993;0.78189
1504.97169;0.1992;0.82225
1505.72763;0.1991;0.74045
1506.48348;0.199;0.7641
1507.23924;0.1989;0.75483
1507.99491;0.1988;0.79393
1508.75049;0.1987;0.74968
1509.50599;0.1986;0.75571
1510.2614;0.1985;0.74196
1511.01672;0.1984;0.79701
1511.77195;0.19831;0.76591
1512.52709;0.19821;0.82631
1513.28215;0.19811;0.75598
1514.03712;0.19801;0.68689
1514.79199;0.19791;0.72834
1515.54679;0.19781;0.6499
1516.30149;0.19771;0.72314
1517.0561;0.19761;0.69447
1517.81063;0.19752;0.72129
1518.56507;0.19742;0.73677
1519.31942;0.19732;0.60671
1520.07368;0.19722;0.77795
1520.82785;0.19712;0.75293
1521.58194;0.19703;0.76752
1522.33593;0.19693;0.70523
1523.08984;0.19683;0.71281
1523.84366;0.19673;0.66697
1524.5974;0.19664;0.76019
1525.35104;0.19654;0.63611
1526.1046;0.19644;0.605
1526.85807;0.19635;0.65491
1527.61145;0.19625;0.60753
1528.36474;0.19615;0.37279
1529.11794;0.19606;0.56493
1529.87106;0.19596;0.35111
1530.62408;0.19586;0.07816
1531.37702;0.19577;0.02818
1532.12988;0.19567;0
1532.88264;0.19557;0
1533.63531;0.19548;0
1534.3879;0.19538;0
