Raman_shift_(cm-1),Normalized_intensity,
1250.5769,0.984,
1250.68335,0.96744,
1250.68335,0.95272,
1250.78979,0.93739,
1250.89624,0.92099,
1250.89624,0.90627,
1251.00268,0.89017,
1251.10913,0.87422,
1251.10913,0.85951,
1251.10913,0.84479,
1251.21557,0.83103,
1251.32202,0.81612,
1251.32202,0.8014,
1251.64135,0.78585,
1251.7478,0.76791,
1252.04348,0.75228,
1252.1639,0.73554,
1252.43969,0.71692,
1252.84773,0.71017,
1253.50059,0.77757,
1253.71702,0.75402,
1253.34447,0.74053,
1254.23473,0.79734,
1253.45091,0.72596,
1255.42605,0.77814,
1255.68625,0.79607,
1256.62905,0.77531,
1256.77435,0.75821,
1257.07003,0.74471,
1257.55495,0.73133,
1257.96721,0.7119,
1258.54505,0.69909,
1259.74753,0.70916,
1260.35208,0.68771,
1260.73754,0.66947,
1260.90204,0.65393,
1261.11493,0.63802,
1261.51942,0.71465,
1261.41061,0.62636,
1262.02381,0.68906,
1262.65483,0.75316,
1262.68119,0.73273,
1262.225,0.66374,
1262.90084,0.77344,
1263.02275,0.71362,
1262.28583,0.64363,
1264.0599,0.74278,
1264.27279,0.72305,
1263.8825,0.7669,
1264.57084,0.70042,
1265.01791,0.6782,
1265.44369,0.65935,
1265.88721,0.64217,
1266.7565,0.68241,
1267.20357,0.66194,
1267.32421,0.69801,
1267.67903,0.64475,
1268.16157,0.67822,
1268.67251,0.62792,
1268.54478,0.65798,
1268.45962,0.64363,
1269.24021,0.61113,
1269.75631,0.59671,
1270.58851,0.5905,
1271.40016,0.60977,
1272.64645,0.59418,
1272.50452,0.61419,
1273.33672,0.57597,
1274.40633,0.55599,
1274.95275,0.56912,
1276.03849,0.55323,
1276.80102,0.57196,
1277.20938,0.58696,
1277.63516,0.60131,
1278.39992,0.56445,
1278.51273,0.54428,
1279.1307,0.53485,
1278.57187,0.59119,
1278.46543,0.58108,
1280.5487,0.54704,
1280.67173,0.57054,
1280.48788,0.53033,
1280.96333,0.59445,
1281.17216,0.62182,
1281.38911,0.64866,
1281.602,0.6765,
1281.81083,0.70395,
1282.00851,0.73667,
1282.03132,0.72182,
1282.23193,0.76124,
1282.47757,0.80115,
1282.40388,0.78162,
1282.63451,0.82286,
1282.90569,0.861,
1282.84487,0.84141,
1283.05776,0.8878,
1283.30511,0.91948,
1283.36188,0.90213,
1283.55112,0.94087,
1283.76401,0.95763,
1283.9678,0.97636,
1284.38071,1.0049,
1284.21344,0.98584,
1284.80649,1.0298,
1285.544,1.04686,
1286.16493,1.06695,
1287.04487,1.04509,
1287.08745,1.02701,
1287.68354,1.00792,
1287.72612,0.99044,
1287.64333,0.97501,
1287.93901,0.95939,
1287.93901,0.94468,
1287.85622,0.92932,
1288.1519,0.91386,
1288.1519,0.89914,
1288.1519,0.88442,
1288.1519,0.86982,
1288.34022,0.85097,
1288.57768,0.83244,
1288.57768,0.81773,
1288.49488,0.80227,
1288.8818,0.78293,
1288.79056,0.76288,
1289.00345,0.74666,
1289.00345,0.73194,
1288.92066,0.71692,
1289.22453,0.69798,
1289.21634,0.67882,
1289.49006,0.6592,
1289.64212,0.64004,
1289.85501,0.62385,
1289.85501,0.60925,
1290.0679,0.59285,
1290.24531,0.57194,
1290.4511,0.54906,
1290.62141,0.53342,
1291.39362,0.51961,
1292.12076,0.50413,
1293.13545,0.52203,
1293.7225,0.536,
1293.68702,0.5084,
1295.05306,0.52281,
1295.39982,0.4997,
1295.47529,0.48218,
1296.09977,0.46678,
1296.27718,0.44723,
1296.56103,0.43796,
1297.42896,0.48781,
1297.85966,0.50564,
1297.41259,0.46756,
1297.51903,0.45459,
1298.91919,0.52206,
1299.54148,0.50235,
1300.08338,0.48599,
1300.34573,0.46782,
1299.96726,0.52649,
1300.55271,0.45083,
1300.39304,0.513,
1301.60955,0.44834,
1302.45097,0.45788,
1302.89859,0.48045,
1303.29161,0.50536,
1304.03345,0.46167,
1303.90572,0.51346,
1304.54439,0.48433,
1305.27176,0.44339,
1305.60883,0.49598,
1305.66206,0.46179,
1306.41945,0.48505,
1307.63128,0.47149,
1307.86783,0.48929,
1308.85185,0.45106,
1309.09786,0.47355,
1309.47633,0.43379,
1310.45967,0.45879,
1310.71818,0.48908,
1310.71818,0.47804,
1312.11717,0.46162,
1311.78263,0.48448,
1312.58857,0.44913,
1313.97926,0.45237,
1314.90823,0.43916,
1316.51587,0.44775,
1315.72108,0.43481,
1318.10849,0.44374,
1319.27634,0.44042,
1320.16135,0.4216,
1320.63883,0.40408,
1320.79495,0.44247,
1320.80678,0.39198,
1321.9405,0.43323,
1322.57225,0.45463,
1321.89488,0.41158,
1321.68199,0.39801,
1323.61928,0.43564,
1323.85346,0.45118,
1324.56418,0.41981,
1324.85168,0.402,
1325.06457,0.38615,
1325.72689,0.43546,
1325.72689,0.38348,
1326.60886,0.42101,
1326.42638,0.40379,
1327.00423,0.44361,
1327.85578,0.42285,
1328.08996,0.40666,
1329.1686,0.39655,
1330.16715,0.41871,
1330.58464,0.43941,
1330.30401,0.39709,
1330.94268,0.45574,
1331.90068,0.42538,
1332.18454,0.43839,
1333.58859,0.42567,
1334.88114,0.42322,
1335.28563,0.40969,
1336.71526,0.40629,
1337.56354,0.41908,
1338.72952,0.43063,
1340.16467,0.43171,
1341.09364,0.41984,
1342.50645,0.42218,
1343.43542,0.4093,
1344.10635,0.39975,
1344.54304,0.42943,
1344.84823,0.44911,
1345.28611,0.41583,
1345.26541,0.46537,
1346.16428,0.43665,
1346.55964,0.39814,
1346.55458,0.4158,
1346.6965,0.38053,
1346.16428,0.45597,
1348.11576,0.39862,
1348.48969,0.42058,
1347.6545,0.37961,
1348.95313,0.43812,
1349.12108,0.45433,
1349.46406,0.46976,
1350.19397,0.41772,
1350.6527,0.39264,
1350.2624,0.45137,
1350.28014,0.43818,
1350.82419,0.3746,
1351.03708,0.36275,
1351.99745,0.40519,
1352.35936,0.39553,
1352.01874,0.37731,
1353.81192,0.41082,
1355.12201,0.42511,
1355.7443,0.40647,
1356.12277,0.39188,
1356.63457,0.37928,
1356.89391,0.42634,
1357.59644,0.4085,
1358.07088,0.44992,
1357.51838,0.38912,
1358.53122,0.42695,
1359.54083,0.40959,
1359.15054,0.44738,
1359.46987,0.42929,
1360.42787,0.38838,
1361.36459,0.40638,
1362.08537,0.42443,
1361.49232,0.3849,
1362.66321,0.44079,
1363.01803,0.402,
1363.40833,0.42174,
1364.47277,0.38676,
1364.36633,0.39985,
1365.98429,0.38789,
1366.8323,0.40023,
1367.26163,0.41761,
1367.62741,0.43322,
1368.04459,0.44861,
1368.97893,0.41273,
1369.02861,0.43352,
1369.77566,0.39575,
1370.43368,0.37699,
1370.54012,0.41089,
1370.82075,0.35812,
1371.83875,0.39645,
1371.79085,0.37685,
1372.60128,0.40813,
1371.71102,0.35845,
1374.01409,0.40127,
1374.94306,0.39165,
1376.50103,0.40002,
1378.07641,0.39599,
1378.75766,0.38513,
1380.21022,0.39391,
1381.48619,0.4089,
1382.21356,0.42438,
1382.46193,0.44382,
1382.9614,0.46248,
1383.40058,0.48114,
1383.60241,0.51668,
1383.60241,0.49684,
1383.75448,0.54927,
1383.73927,0.53324,
1383.96737,0.61971,
1383.95216,0.59924,
1383.95216,0.58453,
1383.95216,0.57027,
1384.25629,0.6707,
1384.16505,0.65053,
1384.23601,0.6378,
1384.42761,0.72888,
1384.37794,0.7078,
1384.37794,0.69308,
1384.37794,0.68273,
1384.60603,0.77426,
1384.59083,0.75425,
1384.76824,0.74237,
1384.81191,0.82323,
1384.80372,0.8037,
1385.08757,0.78974,
1385.09264,0.85942,
1385.03181,0.83997,
1385.2447,0.88491,
1385.49206,0.91838,
1385.65528,0.90121,
1385.7085,0.94322,
1385.89858,0.98216,
1385.86817,0.96238,
1386.13073,1.01295,
1386.11654,0.99504,
1386.34362,1.05392,
1386.30915,1.03368,
1386.59807,1.09466,
1386.52204,1.07547,
1386.71972,1.13881,
1386.71972,1.11831,
1386.96809,1.10298,
1386.98229,1.17277,
1386.93261,1.15419,
1387.16071,1.21556,
1387.1455,1.19489,
1387.44846,1.26507,
1387.35839,1.24618,
1387.25195,1.23361,
1387.62096,1.29126,
1387.82511,1.32211,
1387.60676,1.31088,
1388.13392,1.02553,
1388.18866,1.05852,
1388.41465,1.1411,
1388.34005,1.12015,
1388.64541,1.17953,
1388.52928,1.16089,
1388.74217,1.10326,
1388.63573,1.08634,
1388.63573,1.07231,
1388.60912,1.20846,
1388.20995,1.19558,
1388.57186,1.26844,
1388.52928,1.24894,
1388.63573,1.23238,
1388.31639,1.22502,
1389.15275,1.00188,
1388.97872,0.98124,
1388.67121,1.29371,
1389.14666,1.0438,
1389.33353,0.96438,
1389.2744,0.94859,
1389.19161,0.93361,
1389.16795,1.02227,
1389.40019,0.91483,
1389.59373,0.89911,
1389.70018,0.88488,
1389.70018,0.87016,
1389.61739,0.85491,
1389.93435,0.83412,
1390.06682,0.81126,
1390.12595,0.79588,
1390.20199,0.78254,
1390.42163,0.76854,
1390.25605,0.75218,
1390.46464,0.73378,
1390.46894,0.7163,
1390.76462,0.69371,
1391.01299,0.667,
1391.1904,0.64731,
1391.10761,0.63218,
1391.47425,0.61442,
1391.53103,0.59414,
1391.53339,0.57699,
1391.86455,0.55661,
1392.04196,0.53577,
1392.04196,0.52115,
1392.47742,0.50506,
1392.95265,0.49,
1393.14899,0.47427,
1393.83023,0.4613,
1394.4689,0.44575,
1395.27788,0.4314,
1395.84494,0.41373,
1396.86745,0.40637,
1398.20757,0.38973,
1398.42864,0.4102,
1398.78073,0.37027,
1399.9987,0.40204,
1400.13176,0.42515,
1400.38013,0.37961,
1401.64328,0.40684,
1401.84455,0.36648,
1402.15421,0.38958,
1402.04777,0.37639,
1402.99056,0.42311,
1403.21866,0.40261,
1403.00577,0.38743,
1404.08659,0.44224,
1403.85733,0.42377,
1405.52496,0.44293,
1406.66037,0.43266,
1407.60418,0.42358,
1407.88702,0.45209,
1408.09146,0.4716,
1407.58289,0.43481,
1408.48412,0.4935,
1409.74082,0.47487,
1410.03112,0.4925,
1410.82591,0.45204,
1411.2233,0.4314,
1410.88268,0.47375,
1411.92777,0.41574,
1412.99028,0.40592,
1414.22341,0.4179,
1415.67269,0.42732,
1416.35394,0.40767,
1416.87907,0.3895,
1417.34033,0.38299,
1417.49863,0.42865,
1417.98786,0.40721,
1418.36929,0.44807,
1417.69514,0.39341,
1419.09413,0.43021,
1419.71759,0.44462,
1420.65922,0.42334,
1421.31426,0.41284,
1422.6571,0.42257,
1423.64084,0.4053,
1424.72049,0.4168,
1425.18885,0.41052,
1426.2271,0.42533,
1427.95254,0.43021,
1427.67966,0.41153,
1428.18755,0.40327,
1429.16076,0.44808,
1429.51051,0.46678,
1429.5933,0.43041,
1429.58654,0.41746,
1430.41529,0.44539,
1430.80558,0.40591,
1431.02202,0.42285,
1431.71543,0.38776,
1432.5974,0.40752,
1432.5974,0.37674,
1433.10506,0.4266,
1433.15092,0.44778,
1433.60508,0.47142,
1433.73282,0.45413,
1433.12963,0.39088,
1433.44896,0.40629,
1434.83274,0.46884,
1435.13079,0.45413,
1435.88536,0.44309,
1437.0326,0.46172,
1437.51515,0.4774,
1436.80197,0.44217,
1438.02609,0.49253,
1439.07871,0.47171,
1438.9628,0.45633,
1439.56953,0.45321,
1440.88489,0.46273,
1442.39032,0.45755,
1444.32407,0.45735,
1445.84217,0.46444,
1446.79713,0.48108,
1447.45709,0.49598,
1448.17704,0.50899,
1448.75572,0.52294,
1449.52212,0.48823,
1450.10347,0.46849,
1449.62856,0.50932,
1451.02417,0.46445,
1451.69359,0.48099,
1452.59482,0.45781,
1454.20569,0.45683,
1455.90171,0.4675,
1456.90229,0.48479,
1458.56992,0.48755,
1458.46348,0.47252,
1459.65074,0.50366,
1460.19116,0.48052,
1460.52463,0.46307,
1461.12459,0.44845,
1460.48593,0.50564,
1462.72127,0.45556,
1463.01695,0.47753,
1463.22983,0.49317,
1463.38122,0.50951,
1463.83539,0.53348,
1463.96312,0.51423,
1464.8256,0.48866,
1464.85016,0.5314,
1465.06305,0.51484,
1465.32916,0.50058,
1465.77268,0.47107,
1466.6761,0.45717,
1467.54676,0.47597,
1468.78862,0.474,
1468.98022,0.45882,
1469.79984,0.45148,
1471.24503,0.46609,
1470.91751,0.44989,
1471.79036,0.48301,
1472.40774,0.49123,
1473.15285,0.46595,
1474.12723,0.44854,
1474.932,0.44177,
1475.33142,0.46884,
1475.79876,0.49447,
1476.20427,0.45213,
1477.04218,0.47238,
1477.41064,0.49506,
1477.41064,0.4374,
1477.62353,0.42362,
1478.07592,0.4539,
1478.73765,0.47921,
1479.11375,0.49989,
1479.51824,0.4659,
1480.49754,0.48144,
1482.14388,0.49589,
1481.34909,0.4808,
1483.58443,0.4989,
1483.76829,0.48331,
1485.31658,0.47804,
1486.99067,0.48034,
1487.85041,0.49835,
1488.18285,0.51742,
1488.91635,0.48223,
1489.226,0.51177,
1489.29697,0.49828,
1489.91198,0.47058,
1490.67365,0.47952,
1492.14969,0.49362,
1491.51457,0.47459,
1493.89437,0.50117,
1495.37851,0.50868,
1495.9675,0.49345,
1496.63456,0.48706,
1497.75796,0.49871,
1498.82241,0.48413,
1499.48341,0.50439,
1499.49792,0.52588,
1499.80965,0.54664,
1499.76403,0.48218,
